,open,high,low,close,volume,value
2018-07-29 08:50:00,509.0,512.0,508.0,512.0,170537.55948032,87058563.07297316
2018-07-29 09:00:00,512.0,512.0,510.0,512.0,86742.08325025,44335433.70754664
2018-07-29 09:10:00,512.0,513.0,511.0,512.0,107320.80577538,54959080.97227899
2018-07-29 09:20:00,512.0,512.0,511.0,512.0,71105.4423823,36377961.57123176
2018-07-29 09:30:00,512.0,513.0,511.0,512.0,36028.33598652,18433563.80760977
2018-07-29 09:40:00,512.0,512.0,511.0,511.0,64922.91527583,33220922.38382209
2018-07-29 09:50:00,511.0,512.0,510.0,511.0,13559.49564552,6928403.27486072
2018-07-29 10:00:00,511.0,511.0,509.0,510.0,47776.18307928,24353377.4310434
2018-07-29 10:10:00,510.0,510.0,508.0,509.0,83257.63648897,42362588.95615481
2018-07-29 10:20:00,509.0,510.0,508.0,510.0,39487.60824843,20093571.31013879
2018-07-29 10:30:00,510.0,510.0,509.0,509.0,14884.09566917,7576087.01560753
2018-07-29 10:40:00,509.0,510.0,509.0,510.0,33512.33712231,17084390.40357711
2018-07-29 10:50:00,510.0,511.0,509.0,511.0,64090.422339,32686890.30262894
2018-07-29 11:00:00,510.0,511.0,510.0,510.0,24005.81659025,12250934.24553153
2018-07-29 11:10:00,510.0,511.0,510.0,511.0,23450.45103223,11971515.58105535
2018-07-29 11:20:00,511.0,512.0,509.0,509.0,69377.27710426,35400011.07979244
2018-07-29 11:30:00,510.0,510.0,509.0,510.0,65554.5090718,33432411.13521428
2018-07-29 11:40:00,510.0,511.0,510.0,510.0,32483.19643774,16574506.26848363
2018-07-29 11:50:00,511.0,511.0,510.0,511.0,16844.75300249,8606760.2359002
2018-07-29 12:00:00,510.0,511.0,509.0,510.0,12824.18480055,6539761.47330114
2018-07-29 12:10:00,510.0,511.0,510.0,511.0,30823.00038467,15729093.69365332
2018-07-29 12:20:00,510.0,511.0,510.0,510.0,40373.32243278,20593304.25910856
2018-07-29 12:30:00,509.0,509.0,509.0,509.0,28472.84686981,14492679.05673329
2018-07-29 12:40:00,509.0,510.0,508.0,508.0,148725.6442588,75610990.86812668
2018-07-29 12:50:00,508.0,509.0,507.0,508.0,22093.27459832,11223577.40647494
2018-07-29 13:00:00,509.0,509.0,508.0,509.0,20975.7518249,10656901.5560492
2018-07-29 13:10:00,508.0,509.0,508.0,508.0,21417.01359785,10891272.35986047
2018-07-29 13:20:00,508.0,509.0,508.0,508.0,44540.90494758,22638197.44101122
2018-07-29 13:30:00,508.0,509.0,508.0,508.0,9273.00552931,4711741.62155652
2018-07-29 13:40:00,508.0,509.0,508.0,508.0,7757.04152156,3943048.09295248
2018-07-29 13:50:00,509.0,509.0,508.0,508.0,6742.10256848,3425780.49248397
2018-07-29 14:00:00,508.0,509.0,508.0,509.0,8726.47998987,4436689.15656245
2018-07-29 14:10:00,509.0,509.0,509.0,509.0,5848.31186,2976790.73674
2018-07-29 14:20:00,509.0,509.0,508.0,508.0,19107.94853278,9725327.30375624
2018-07-29 14:30:00,509.0,510.0,509.0,510.0,13655.53554705,6951059.77544845
2018-07-29 14:40:00,510.0,510.0,509.0,510.0,32905.98115755,16779382.29561521
2018-07-29 14:50:00,510.0,510.0,509.0,510.0,24257.82316551,12369789.8144101
2018-07-29 15:00:00,509.0,509.0,508.0,509.0,34252.4000562,17431789.70916097
2018-07-29 15:10:00,509.0,509.0,509.0,509.0,581.32718284,295895.53606556
2018-07-29 15:20:00,508.0,509.0,508.0,509.0,13419.59626154,6817760.0569774
2018-07-29 15:30:00,509.0,509.0,508.0,509.0,9003.6471745,4577113.37318762
2018-07-29 15:40:00,509.0,509.0,508.0,509.0,24989.70951607,12715453.30918261
2018-07-29 15:50:00,509.0,509.0,508.0,508.0,30839.61850588,15678987.78710156
2018-07-29 16:00:00,509.0,509.0,508.0,508.0,48539.52378084,24704285.18494155
2018-07-29 16:10:00,509.0,509.0,508.0,509.0,45446.21797581,23101719.5695003
2018-07-29 16:20:00,509.0,509.0,508.0,508.0,85037.61403169,43202050.790772
2018-07-29 16:30:00,508.0,509.0,507.0,507.0,133389.68270864,67762605.65736774
2018-07-29 16:40:00,507.0,508.0,507.0,508.0,7396.03682409,3755186.70663772
2018-07-29 16:50:00,507.0,508.0,507.0,508.0,35258.31030644,17876110.79536508
2018-07-29 17:00:00,507.0,508.0,506.0,508.0,99417.70084893,50388371.54809969
2018-07-29 17:10:00,508.0,508.0,507.0,507.0,60595.62132682,30724322.50845923
2018-07-29 17:20:00,507.0,508.0,507.0,508.0,28729.14512519,14588260.18024558
2018-07-29 17:30:00,508.0,509.0,508.0,509.0,48917.55140854,24857567.66391578
2018-07-29 17:40:00,509.0,509.0,508.0,509.0,11614.3285477,5901401.1022316
2018-07-29 17:50:00,509.0,509.0,508.0,509.0,17236.98830723,8757529.21690794
2018-07-29 18:00:00,509.0,509.0,507.0,508.0,10880.7668331,5527808.0712148
2018-07-29 18:10:00,508.0,508.0,508.0,508.0,17681.35282981,8982127.23754348
2018-07-29 18:20:00,508.0,509.0,508.0,509.0,20533.44238088,10434679.2119661
2018-07-29 18:30:00,509.0,509.0,508.0,509.0,48887.8666853,24870160.70641758
2018-07-29 18:40:00,509.0,509.0,508.0,508.0,26880.49102782,13680914.90159031
2018-07-29 18:50:00,508.0,509.0,508.0,509.0,68358.48768077,34743113.76904193
2018-07-29 19:00:00,509.0,509.0,508.0,508.0,37972.06635166,19310794.74487504
2018-07-29 19:10:00,509.0,509.0,509.0,509.0,1289.26083029,656233.76261761
2018-07-29 19:20:00,509.0,509.0,508.0,508.0,21400.53570779,10879075.19954415
2018-07-29 19:30:00,508.0,509.0,507.0,508.0,7783.21108771,3955577.63194743
2018-07-29 19:40:00,509.0,509.0,508.0,508.0,22145.10952264,11264218.50127924
2018-07-29 19:50:00,508.0,509.0,508.0,508.0,30662.28059436,15581873.92193488
2018-07-29 20:00:00,508.0,509.0,508.0,508.0,38302.04384129,19460689.92601484
2018-07-29 20:10:00,508.0,509.0,508.0,508.0,3897.41673021,1981940.83052767
2018-07-29 20:20:00,508.0,509.0,508.0,509.0,22690.51993391,11543718.24461454
2018-07-29 20:30:00,509.0,509.0,508.0,508.0,23419.93695061,11905668.09313802
2018-07-29 20:40:00,508.0,509.0,508.0,509.0,67770.42239655,34443383.44995831
2018-07-29 20:50:00,509.0,509.0,507.0,509.0,120746.00439437,61386478.38893872
2018-07-29 21:00:00,509.0,509.0,508.0,509.0,26845.00982867,13657940.71092547
2018-07-29 21:10:00,508.0,510.0,508.0,509.0,66744.55188534,33969202.90963806
2018-07-29 21:20:00,509.0,510.0,508.0,509.0,95948.48419888,48869044.4273781
2018-07-29 21:30:00,510.0,510.0,509.0,510.0,44073.03061792,22463678.28167267
2018-07-29 21:40:00,510.0,510.0,509.0,509.0,117649.25784892,59945790.1529492
2018-07-29 21:50:00,510.0,510.0,509.0,510.0,80213.7444128,40898176.860528
2018-07-29 22:00:00,510.0,510.0,509.0,510.0,36848.05750683,18787487.27094615
2018-07-29 22:10:00,510.0,510.0,509.0,510.0,25706.80943674,13087457.03928658
2018-07-29 22:20:00,510.0,510.0,508.0,508.0,55796.31489948,28408106.71905745
2018-07-29 22:30:00,509.0,510.0,508.0,509.0,35089.6226028,17855136.11587872
2018-07-29 22:40:00,508.0,510.0,508.0,509.0,24917.15329148,12683872.74284125
2018-07-29 22:50:00,509.0,510.0,508.0,509.0,51332.10854633,26124118.99535962
2018-07-29 23:00:00,510.0,510.0,509.0,509.0,23995.9202186,12214194.12959187
2018-07-29 23:10:00,510.0,511.0,509.0,510.0,33531.92920991,17112254.10516653
2018-07-29 23:20:00,510.0,512.0,509.0,511.0,44916.09065233,22958567.00345898
2018-07-29 23:30:00,512.0,512.0,511.0,511.0,59869.3907751,30652298.80656272
2018-07-29 23:40:00,511.0,512.0,509.0,510.0,138282.19435675,70567157.08437039
2018-07-29 23:50:00,510.0,511.0,509.0,510.0,45667.90891297,23314882.88375107
2018-07-30 00:00:00,510.0,510.0,509.0,509.0,22865.70148118,11651326.31265497
2018-07-30 00:10:00,509.0,510.0,509.0,509.0,24031.79362385,12242130.39845185
2018-07-30 00:20:00,510.0,510.0,508.0,510.0,29424.08123072,14984897.67963152
2018-07-30 00:30:00,510.0,510.0,509.0,510.0,48702.82487857,24834572.19338251
2018-07-30 00:40:00,510.0,511.0,509.0,511.0,33640.85079777,17129405.64243688
2018-07-30 00:50:00,511.0,511.0,509.0,510.0,10400.98615506,5299175.15413759
2018-07-30 01:00:00,510.0,510.0,509.0,510.0,42303.25732525,21545773.09981513
2018-07-30 01:10:00,510.0,510.0,509.0,510.0,35183.95385475,17927018.05951542
2018-07-30 01:20:00,510.0,511.0,509.0,509.0,8023.51639658,4086543.54506284
2018-07-30 01:30:00,509.0,510.0,509.0,509.0,25234.64963813,12848485.66580817
2018-07-30 01:40:00,509.0,509.0,508.0,509.0,27855.78322791,14174465.22719855
2018-07-30 01:50:00,509.0,509.0,509.0,509.0,6950.97525792,3538046.40628128
2018-07-30 02:00:00,508.0,509.0,508.0,509.0,14780.46540076,7511778.39445506
2018-07-30 02:10:00,509.0,509.0,508.0,508.0,3119.208893,1587428.238644
2018-07-30 02:20:00,508.0,510.0,508.0,509.0,22336.67624465,11354817.31816324
2018-07-30 02:30:00,509.0,509.0,508.0,509.0,27537.38269549,13997912.46935695
2018-07-30 02:40:00,509.0,509.0,508.0,509.0,18459.07062405,9391848.55020738
2018-07-30 02:50:00,510.0,510.0,509.0,510.0,40338.50179892,20561909.27086544
2018-07-30 03:00:00,510.0,510.0,509.0,509.0,20197.33902955,10300445.56604095
2018-07-30 03:10:00,509.0,509.0,509.0,509.0,8461.9506452,4307132.8784068
2018-07-30 03:20:00,509.0,510.0,509.0,509.0,7422.16391247,3779174.61818719
2018-07-30 03:30:00,509.0,509.0,509.0,509.0,11075.03664481,5637193.65220829
2018-07-30 03:40:00,509.0,510.0,509.0,509.0,1796.79425299,915223.41177191
2018-07-30 03:50:00,510.0,511.0,510.0,511.0,2584.75463462,1318679.3565663
2018-07-30 04:10:00,510.0,510.0,509.0,509.0,10654.40901984,5423974.05285435
2018-07-30 04:20:00,509.0,509.0,509.0,509.0,6085.85421044,3097699.79311396
2018-07-30 04:30:00,509.0,510.0,509.0,509.0,6263.68485323,3188603.10044304
2018-07-30 04:40:00,509.0,509.0,509.0,509.0,641.79298733,326672.63055097
2018-07-30 04:50:00,509.0,510.0,508.0,510.0,15418.71847008,7852557.12652102
2018-07-30 05:00:00,510.0,510.0,510.0,510.0,13053.58116039,6657326.3917989
2018-07-30 05:10:00,509.0,509.0,509.0,509.0,710.33039126,361558.16915134
2018-07-30 05:20:00,509.0,509.0,508.0,508.0,8255.44537951,4194147.68242255
2018-07-30 05:30:00,508.0,509.0,508.0,509.0,14492.47603881,7362650.28771548
2018-07-30 05:40:00,509.0,509.0,509.0,509.0,1667.03051968,848518.53451712
2018-07-30 05:50:00,509.0,509.0,508.0,508.0,6854.67912895,3486658.58493205
2018-07-30 06:00:00,508.0,509.0,508.0,508.0,4100.97294366,2084033.67107169
2018-07-30 06:10:00,508.0,509.0,507.0,508.0,46087.77865829,23412684.16607916
2018-07-30 06:20:00,507.0,509.0,507.0,508.0,80616.82065853,40928847.73556912
2018-07-30 06:30:00,508.0,510.0,507.0,510.0,8977.1881067,4564715.0289246
2018-07-30 06:40:00,508.0,508.0,508.0,508.0,6790.32549419,3449485.35104852
